geoid,FIPS,CT20,year,denom_total_pop,total_calls,total_calls_rate,homeless_encampment,homeless_encampment_rate,illegal_dumping,illegal_dumping_rate,bulky_items,bulky_items_rate
1400000U,06037101110,101110,2022,4014,1459,3634.7783,14,34.877926,99,246.63676,1025,2553.5625
1400000U,06037101122,101122,2022,4164,1077,2586.4553,9,21.613832,48,115.27377,695,1669.0682
1400000U,06037101220,101220,2022,3481,835,2398.7361,13,37.345589,60,172.36426,580,1666.1879
1400000U,06037101221,101221,2022,3756,891,2372.2046,43,114.48349,147,391.37381,489,1301.917
1400000U,06037101222,101222,2022,2808,670,2386.0398,15,53.418804,104,370.37036,366,1303.4188
1400000U,06037101300,101300,2022,4071,1421,3490.543,102,250.55269,64,157.20953,890,2186.1951
1400000U,06037101400,101400,2022,3490,1871,5361.0317,138,395.41547,209,598.85388,1017,2914.04
1400000U,06037102103,102103,2022,1834,504,2748.0916,23,125.40894,20,109.05125,352,1919.3021
1400000U,06037102104,102104,2022,4033,1228,3044.8796,7,17.356806,60,148.77263,856,2122.4895
1400000U,06037102105,102105,2022,1610,461,2863.354,10,62.111801,27,167.70186,303,1881.9875
1400000U,06037102107,102107,2022,3577,1185,3312.832,36,100.643,166,464.07605,699,1954.1515
1400000U,06037103101,103101,2022,2726,1045,3833.4556,5,18.341892,39,143.06676,696,2553.1914
1400000U,06037103102,103102,2022,4550,1606,3529.6704,37,81.31868,57,125.27473,1088,2391.2087
1400000U,06037103201,103201,2022,4291,1310,3052.9014,99,230.71545,70,163.13214,734,1710.557
1400000U,06037103202,103202,2022,2010,693,3447.7612,29,144.27861,71,353.23383,387,1925.3732
1400000U,06037103300,103300,2022,3816,1147,3005.7651,14,36.68763,61,159.85326,709,1857.9664
1400000U,06037103401,103401,2022,2391,691,2890.0042,14,58.552906,29,121.28816,459,1919.6989
1400000U,06037103402,103402,2022,3829,1466,3828.6758,64,167.14546,73,190.6503,931,2431.4443
1400000U,06037104103,104103,2022,4281,1143,2669.937,17,39.710346,135,315.34689,707,1651.4833
1400000U,06037104105,104105,2022,6195,1131,1825.6659,62,100.08071,122,196.93301,639,1031.4771
1400000U,06037104108,104108,2022,4962,1394,2809.3511,58,116.88835,195,392.98669,762,1535.6711
1400000U,06037104124,104124,2022,4006,1075,2683.4749,11,27.458813,48,119.82027,750,1872.1918
1400000U,06037104201,104201,2022,4636,1432,3088.8696,45,97.066437,118,254.52977,682,1471.0958
1400000U,06037104203,104203,2022,5182,1025,1978.0007,9,17.367811,137,264.37668,582,1123.1185
1400000U,06037104204,104204,2022,3691,682,1847.7378,36,97.534546,73,197.77838,332,899.48523
1400000U,06037104310,104310,2022,4392,1483,3376.5938,122,277.77777,236,537.34064,698,1589.2532
1400000U,06037104321,104321,2022,2890,1007,3484.429,16,55.363323,128,442.90659,513,1775.0865
1400000U,06037104322,104322,2022,1787,1059,5926.1333,74,414.10184,84,470.06155,439,2456.6311
1400000U,06037104401,104401,2022,2977,887,2979.5095,21,70.54081,64,214.98152,494,1659.3887
1400000U,06037104403,104403,2022,2352,946,4022.1089,23,97.789116,102,433.67346,488,2074.8298
1400000U,06037104404,104404,2022,3323,925,2783.6292,36,108.33584,61,183.56906,429,1291.0021
1400000U,06037104500,104500,2022,3301,868,2629.5061,7,21.205696,63,190.85126,547,1657.0736
1400000U,06037104610,104610,2022,3122,1143,3661.1147,39,124.91992,149,477.25818,691,2213.3247
1400000U,06037104620,104620,2022,3528,1113,3154.762,17,48.18594,112,317.46033,715,2026.644
1400000U,06037104701,104701,2022,3891,629,1616.551,17,43.690567,90,231.30301,318,817.27063
1400000U,06037104703,104703,2022,2298,615,2676.2402,149,648.38989,96,417.75458,265,1153.1766
1400000U,06037104704,104704,2022,4567,840,1839.2819,37,81.015984,61,133.56689,522,1142.9823
1400000U,06037104821,104821,2022,3431,851,2480.3264,12,34.975227,92,268.1434,539,1570.9706
1400000U,06037104822,104822,2022,2461,723,2937.8301,69,280.37384,73,296.62738,324,1316.538
1400000U,06037104823,104823,2022,3362,628,1867.9358,24,71.386078,61,181.43962,410,1219.5122
1400000U,06037104824,104824,2022,2657,726,2732.405,38,143.01845,60,225.81859,426,1603.312
1400000U,06037106010,106010,2022,3578,964,2694.2427,4,11.17943,39,108.99944,537,1500.8385
1400000U,06037106020,106020,2022,4576,1675,3660.4021,22,48.076923,61,133.3042,941,2056.3811
1400000U,06037106111,106111,2022,4859,1250,2572.5459,0,0,16,32.928585,742,1527.0632
1400000U,06037106112,106112,2022,5125,1923,3752.1951,18,35.121952,59,115.12195,1076,2099.5122
1400000U,06037106113,106113,2022,3871,1760,4546.6289,23,59.416172,41,105.91579,638,1648.153
1400000U,06037106114,106114,2022,6800,3060,4500,78,114.70588,72,105.88235,736,1082.3529
1400000U,06037106403,106403,2022,3701,1541,4163.7397,22,59.443394,43,116.18481,601,1623.8854
1400000U,06037106405,106405,2022,4340,1548,3566.8203,26,59.907833,152,350.23041,476,1096.7742
1400000U,06037106406,106406,2022,6534,1616,2473.217,52,79.583717,216,330.57852,753,1152.4335
1400000U,06037106407,106407,2022,2352,935,3975.3401,1,4.2517009,25,106.29252,258,1096.9387
1400000U,06037106408,106408,2022,3733,804,2153.7637,2,5.3576212,37,99.11599,294,787.57031
1400000U,06037106510,106510,2022,5717,2698,4719.2583,133,232.6395,128,223.89365,1206,2109.498
1400000U,06037106520,106520,2022,5545,2324,4191.1631,81,146.07755,196,353.47159,902,1626.6907
1400000U,06037106603,106603,2022,3544,940,2652.3701,3,8.4650116,19,53.611736,622,1755.079
1400000U,06037106604,106604,2022,4010,2188,5456.3589,48,119.70074,110,274.31421,774,1930.1746
1400000U,06037106641,106641,2022,2197,617,2808.375,0,0,14,63.723259,408,1857.0779
1400000U,06037106642,106642,2022,3442,1003,2914.0034,2,5.8105755,33,95.874489,700,2033.7013
1400000U,06037106643,106643,2022,4306,1101,2556.8975,79,183.46494,38,88.248955,662,1537.3896
1400000U,06037106645,106645,2022,3769,918,2435.6594,1,2.6532238,19,50.411251,616,1634.3857
1400000U,06037106646,106646,2022,3011,1117,3709.731,38,126.20392,53,176.02126,692,2298.2397
1400000U,06037106648,106648,2022,4581,1732,3780.834,40,87.317177,84,183.36607,629,1373.0626
1400000U,06037106649,106649,2022,2776,888,3198.8472,8,28.818443,34,122.47839,475,1711.0951
1400000U,06037107010,107010,2022,3177,1169,3679.572,4,12.590494,46,144.79068,540,1699.7167
1400000U,06037107020,107020,2022,4610,1827,3963.1235,97,210.41214,116,251.62689,909,1971.8004
1400000U,06037108101,108101,2022,2274,755,3320.1406,10,43.975372,18,79.15567,460,2022.8672
1400000U,06037108102,108102,2022,3596,994,2764.1824,3,8.3426027,50,139.04338,602,1674.0823
1400000U,06037108103,108103,2022,2968,845,2847.0352,2,6.7385445,26,87.601082,489,1647.5741
1400000U,06037108104,108104,2022,1738,566,3256.6167,2,11.50748,23,132.33601,349,2008.0552
1400000U,06037108202,108202,2022,9302,2083,2239.3035,4,4.3001504,37,39.776394,1488,1599.656
1400000U,06037108203,108203,2022,3170,971,3063.0916,0,0,3,9.4637222,682,2151.4197
1400000U,06037108204,108204,2022,1780,611,3432.5842,1,5.6179776,3,16.853933,423,2376.4045
1400000U,06037109100,109100,2022,2675,931,3480.3738,33,123.36449,49,183.17757,542,2026.1682
1400000U,06037109200,109200,2022,3161,990,3131.9202,8,25.308447,74,234.10313,661,2091.1104
1400000U,06037109300,109300,2022,2864,1280,4469.2739,13,45.39106,109,380.58658,685,2391.7598
1400000U,06037109400,109400,2022,4175,1318,3156.8862,12,28.742516,172,411.97604,754,1805.988
1400000U,06037109500,109500,2022,3699,1352,3655.042,67,181.13004,166,448.76993,727,1965.396
1400000U,06037109601,109601,2022,4831,1514,3133.9268,30,62.098946,205,424.34277,927,1918.8574
1400000U,06037109603,109603,2022,3900,1480,3794.8718,60,153.84616,137,351.28204,847,2171.7949
1400000U,06037109604,109604,2022,2900,1401,4831.0347,75,258.6207,112,386.20691,715,2465.5173
1400000U,06037109700,109700,2022,4333,1687,3893.3765,61,140.78006,152,350.7962,966,2229.4023
1400000U,06037109800,109800,2022,4584,1635,3566.7539,199,434.11868,90,196.33508,952,2076.7888
1400000U,06037111100,111100,2022,3076,982,3192.4578,5,16.254877,45,146.29388,622,2022.1067
1400000U,06037111201,111201,2022,3256,1204,3697.7888,69,211.91646,71,218.05898,758,2328.0098
1400000U,06037111202,111202,2022,5670,1634,2881.8342,24,42.328041,49,86.419754,1104,1947.09
1400000U,06037111204,111204,2022,5600,1992,3557.1428,5,8.9285717,96,171.42857,1266,2260.7144
1400000U,06037111205,111205,2022,3879,979,2523.8464,16,41.247746,29,74.761536,655,1688.5796
1400000U,06037111206,111206,2022,4363,1552,3557.1853,34,77.928032,79,181.06807,984,2255.3289
1400000U,06037111302,111302,2022,4880,1336,2737.7048,46,94.262299,81,165.98361,811,1661.8853
1400000U,06037111303,111303,2022,4712,1454,3085.7385,41,87.011887,50,106.11205,858,1820.8828
1400000U,06037111304,111304,2022,3106,440,1416.613,18,57.952351,59,189.95493,239,769.47845
1400000U,06037111401,111401,2022,2293,1033,4505.0151,125,545.13739,45,196.24945,570,2485.8264
1400000U,06037111402,111402,2022,6146,1594,2593.5569,124,201.75725,72,117.14937,754,1226.8142
1400000U,06037113101,113101,2022,3525,1409,3997.1631,38,107.80142,157,445.39008,759,2153.1914
1400000U,06037113102,113102,2022,2784,930,3340.5173,4,14.367816,96,344.82758,533,1914.5115
1400000U,06037113211,113211,2022,4248,1280,3013.1826,5,11.770245,73,171.84558,772,1817.3258
1400000U,06037113212,113212,2022,2888,1069,3701.5234,16,55.401661,123,425.90027,551,1907.8948
1400000U,06037113213,113213,2022,5087,1710,3361.5098,82,161.19521,174,342.04837,927,1822.2921
1400000U,06037113231,113231,2022,2161,819,3789.9121,2,9.2549744,40,185.09949,524,2424.8032
1400000U,06037113232,113232,2022,4596,1457,3170.1479,26,56.57093,59,128.3725,876,1906.0052
1400000U,06037113234,113234,2022,5653,843,1491.2435,10,17.689722,39,68.989914,520,919.86554
1400000U,06037113235,113235,2022,1727,4,23.161552,0,0,0,0,1,5.7903881
1400000U,06037113237,113237,2022,4725,1656,3504.762,260,550.26453,151,319.57672,763,1614.8148
1400000U,06037113238,113238,2022,4547,1212,2665.4937,72,158.34616,92,202.33121,750,1649.4392
1400000U,06037113239,113239,2022,2343,520,2219.377,8,34.14426,47,200.59752,300,1280.4098
1400000U,06037113301,113301,2022,4830,1039,2151.1387,121,250.51759,110,227.74327,457,946.1698
1400000U,06037113303,113303,2022,3774,2904,7694.7534,502,1330.1537,406,1075.7816,1110,2941.1765
1400000U,06037113322,113322,2022,4584,1401,3056.2827,6,13.089005,77,167.97557,894,1950.2618
1400000U,06037113323,113323,2022,3619,1355,3744.1282,40,110.52777,139,384.08401,726,2006.079
1400000U,06037113324,113324,2022,2771,326,1176.4706,1,3.6088054,33,119.09058,181,653.19379
1400000U,06037113423,113423,2022,3077,930,3022.4246,47,152.74619,105,341.24146,549,1784.2054
1400000U,06037113424,113424,2022,3346,1485,4438.1353,125,373.58038,188,561.86493,703,2101.0161
1400000U,06037113425,113425,2022,4499,407,904.64545,78,173.37186,36,80.017784,221,491.22028
1400000U,06037113426,113426,2022,2322,902,3884.5823,103,443.58313,86,370.37036,404,1739.8794
1400000U,06037113427,113427,2022,2360,373,1580.5084,0,0,31,131.35593,256,1084.7457
1400000U,06037113428,113428,2022,4222,1042,2468.0247,36,85.267647,47,111.32165,691,1636.665
1400000U,06037115101,115101,2022,4678,1897,4055.1519,17,36.340317,89,190.25224,1087,2323.6426
1400000U,06037115103,115103,2022,2725,59,216.51376,26,95.412842,8,29.357798,14,51.376148
1400000U,06037115104,115104,2022,4327,770,1779.5239,18,41.599262,56,129.41992,470,1086.2029
1400000U,06037115202,115202,2022,6010,2313,3848.5857,83,138.10316,117,194.67554,1144,1903.4941
1400000U,06037115203,115203,2022,2236,644,2880.1431,45,201.25224,23,102.86225,367,1641.3239
1400000U,06037115204,115204,2022,3806,1041,2735.155,20,52.548607,53,139.25381,623,1636.8892
1400000U,06037115301,115301,2022,4511,1256,2784.3049,4,8.8672132,53,117.49058,758,1680.3369
1400000U,06037115302,115302,2022,3912,578,1477.5051,0,0,44,112.47443,304,777.09613
1400000U,06037115401,115401,2022,5847,1593,2724.4741,20,34.205574,203,347.18658,719,1229.6904
1400000U,06037115403,115403,2022,3477,1737,4995.686,75,215.70319,62,178.31464,482,1386.2526
1400000U,06037115404,115404,2022,2830,1067,3770.3181,40,141.34276,80,282.68552,542,1915.1943
1400000U,06037117101,117101,2022,5252,1468,2795.1257,28,53.313023,259,493.14548,715,1361.3861
1400000U,06037117102,117102,2022,2504,848,3386.5815,54,215.65495,107,427.31628,480,1916.9329
1400000U,06037117201,117201,2022,4250,1164,2738.8235,91,214.11765,141,331.76471,526,1237.6471
1400000U,06037117202,117202,2022,2853,1483,5198.0371,125,438.13528,81,283.91168,516,1808.6226
1400000U,06037117301,117301,2022,3632,1360,3744.4934,2,5.506608,47,129.40529,884,2433.9207
1400000U,06037117302,117302,2022,4957,1838,3707.8879,12,24.208191,53,106.91951,1082,2182.7717
1400000U,06037117303,117303,2022,4428,1300,2935.8628,49,110.65944,115,259.71094,756,1707.317
1400000U,06037117404,117404,2022,5548,1591,2867.7,137,246.93584,92,165.82552,801,1443.7635
1400000U,06037117405,117405,2022,3176,540,1700.2518,16,50.377834,48,151.1335,333,1048.4886
1400000U,06037117407,117407,2022,3566,699,1960.1794,59,165.45149,82,229.94952,400,1121.705
1400000U,06037117408,117408,2022,2404,589,2450.0833,13,54.076538,41,170.54909,365,1518.3029
1400000U,06037117510,117510,2022,3807,938,2463.8823,7,18.387182,162,425.53192,517,1358.0247
1400000U,06037117520,117520,2022,4571,1212,2651.4985,37,80.945091,120,262.5246,608,1330.1248
1400000U,06037117530,117530,2022,5963,1792,3005.1987,42,70.434341,100,167.70082,928,1556.2637
1400000U,06037119001,119001,2022,4462,1578,3536.5308,49,109.81622,166,372.03049,942,2111.1609
1400000U,06037119003,119003,2022,3895,1026,2634.1462,3,7.7021823,83,213.0937,669,1717.5867
1400000U,06037119004,119004,2022,2768,988,3569.3643,59,213.15028,116,419.07513,467,1687.1387
1400000U,06037119201,119201,2022,4412,1518,3440.6165,41,92.928375,198,448.77606,857,1942.4297
1400000U,06037119202,119202,2022,4766,1336,2803.1892,79,165.75745,139,291.64917,699,1466.6387
1400000U,06037119310,119310,2022,3931,907,2307.301,24,61.053165,132,335.79242,455,1157.4663
1400000U,06037119320,119320,2022,4475,1224,2735.1956,22,49.16201,199,444.69275,724,1617.8771
1400000U,06037119340,119340,2022,3905,663,1697.8234,8,20.486555,76,194.62228,462,1183.0986
1400000U,06037119341,119341,2022,2750,765,2781.8181,104,378.18182,107,389.09091,381,1385.4546
1400000U,06037119342,119342,2022,2850,736,2582.4561,2,7.0175438,141,494.73685,367,1287.7192
1400000U,06037119400,119400,2022,5061,1712,3382.7307,17,33.590199,183,361.58862,986,1948.2316
1400000U,06037119700,119700,2022,4269,2156,5050.3633,41,96.041229,248,580.93231,1185,2775.8257
1400000U,06037119801,119801,2022,2556,828,3239.4365,15,58.685448,85,332.55087,501,1960.0939
1400000U,06037119802,119802,2022,3238,1087,3357.0105,31,95.738113,102,315.00928,660,2038.2953
1400000U,06037119900,119900,2022,4521,1467,3244.8574,15,33.178501,143,316.3017,825,1824.8175
1400000U,06037120010,120010,2022,2700,739,2737.0371,12,44.444443,56,207.40741,438,1622.2222
1400000U,06037120020,120020,2022,4359,898,2060.1055,34,77.999542,100,229.41042,481,1103.4641
1400000U,06037120030,120030,2022,2614,621,2375.6694,28,107.11553,79,302.21881,308,1178.2709
1400000U,06037120103,120103,2022,3030,803,2650.165,7,23.10231,92,303.63037,520,1716.1716
1400000U,06037120104,120104,2022,2375,604,2543.158,47,197.89473,67,282.10526,240,1010.5263
1400000U,06037120105,120105,2022,2691,902,3351.9138,24,89.186172,91,338.16425,493,1832.0327
1400000U,06037120106,120106,2022,4443,680,1530.4974,7,15.75512,81,182.30925,423,952.05945
1400000U,06037120107,120107,2022,4044,582,1439.1692,10,24.727993,70,173.09595,347,858.06134
1400000U,06037120108,120108,2022,4511,891,1975.1718,23,50.986477,110,243.84837,537,1190.4235
1400000U,06037120300,120300,2022,5299,2453,4629.1753,132,249.10361,443,836.00677,1094,2064.5405
1400000U,06037120400,120400,2022,6170,2163,3505.6726,139,225.28363,297,481.36142,996,1614.2626
1400000U,06037121010,121010,2022,5277,2133,4042.0693,100,189.50162,307,581.76996,1021,1934.8114
1400000U,06037121020,121020,2022,3661,1158,3163.0703,78,213.05655,70,191.20459,633,1729.0358
1400000U,06037121101,121101,2022,3191,941,2948.9189,237,742.71387,94,294.57849,412,1291.1313
1400000U,06037121102,121102,2022,2271,1750,7705.8564,169,744.16559,371,1633.6416,634,2791.7217
1400000U,06037121210,121210,2022,2922,1438,4921.2866,123,420.94455,227,776.86517,637,2180.0137
1400000U,06037121221,121221,2022,2237,941,4206.5264,36,160.92981,115,514.08136,571,2552.5256
1400000U,06037121222,121222,2022,4872,1512,3103.4482,40,82.101807,263,539.8194,750,1539.4088
1400000U,06037121600,121600,2022,2635,1045,3965.8445,77,292.22012,63,239.08919,581,2204.9336
1400000U,06037121801,121801,2022,3916,1195,3051.5833,89,227.27272,161,411.13382,649,1657.3033
1400000U,06037121802,121802,2022,3026,1504,4970.2578,233,769.99341,268,885.65765,622,2055.5188
1400000U,06037121900,121900,2022,3314,1555,4692.2148,73,220.2776,241,727.21783,704,2124.321
1400000U,06037122000,122000,2022,5034,2167,4304.728,122,242.35201,204,405.24432,942,1871.2753
1400000U,06037122120,122120,2022,4692,1452,3094.6292,15,31.969309,136,289.85507,940,2003.41
1400000U,06037122121,122121,2022,2853,750,2628.8118,21,73.606728,83,290.92184,397,1391.5177
1400000U,06037122122,122122,2022,2507,1038,4140.4067,97,386.91663,192,765.85559,368,1467.8899
1400000U,06037122200,122200,2022,3884,1372,3532.4407,84,216.27188,172,442.84244,759,1954.1709
1400000U,06037122410,122410,2022,3949,1007,2550.0127,28,70.90403,103,260.82553,488,1235.7559
1400000U,06037122420,122420,2022,5113,1278,2499.511,18,35.20438,63,123.21533,762,1490.3188
1400000U,06037123010,123010,2022,3948,1278,3237.082,153,387.53799,94,238.09525,552,1398.1763
1400000U,06037123020,123020,2022,2634,848,3219.4382,12,45.558086,75,284.73804,549,2084.2825
1400000U,06037123103,123103,2022,3917,1407,3592.0347,173,441.66455,104,265.50931,689,1758.9993
1400000U,06037123104,123104,2022,4393,1673,3808.3315,126,286.81995,209,475.7569,963,2192.1238
1400000U,06037123203,123203,2022,2982,1745,5851.7773,39,130.78471,120,402.41449,637,2136.1501
1400000U,06037123204,123204,2022,3399,1091,3209.7676,21,61.782879,60,176.52251,610,1794.6455
1400000U,06037123205,123205,2022,2959,1050,3548.4961,86,290.63873,155,523.82562,385,1301.1152
1400000U,06037123206,123206,2022,2371,678,2859.553,39,164.48756,68,286.79883,255,1075.4956
1400000U,06037123301,123301,2022,4068,1843,4530.4819,86,211.4061,185,454.76892,824,2025.5654
1400000U,06037123303,123303,2022,3029,1003,3311.324,12,39.617035,86,283.92209,518,1710.1354
1400000U,06037123304,123304,2022,4499,1205,2678.373,17,37.786175,84,186.70816,610,1355.8568
1400000U,06037123410,123410,2022,3503,1415,4039.3948,11,31.401655,107,305.45248,679,1938.3386
1400000U,06037123420,123420,2022,4401,1506,3421.9495,16,36.355373,116,263.57645,629,1429.2206
1400000U,06037123510,123510,2022,4911,1570,3196.905,20,40.724903,156,317.65424,951,1936.4691
1400000U,06037123520,123520,2022,2619,992,3787.7053,14,53.455517,95,362.73386,562,2145.8572
1400000U,06037123601,123601,2022,5145,1286,2499.5142,22,42.75996,70,136.05443,765,1486.8805
1400000U,06037123602,123602,2022,3190,968,3034.4827,6,18.808777,60,188.08777,607,1902.8213
1400000U,06037123700,123700,2022,4214,1450,3440.9111,20,47.460846,88,208.82771,888,2107.2615
1400000U,06037123800,123800,2022,5696,2059,3614.8174,140,245.78651,157,275.63202,1262,2215.5898
1400000U,06037123901,123901,2022,3986,2245,5632.2129,55,137.98294,122,306.07126,853,2139.99
1400000U,06037123902,123902,2022,2668,862,3230.8845,25,93.703148,40,149.92503,511,1915.2924
1400000U,06037124000,124000,2022,4432,1456,3285.1985,36,81.22744,65,146.66064,896,2021.6606
1400000U,06037124102,124102,2022,3650,1837,5032.877,151,413.69864,121,331.50684,747,2046.5753
1400000U,06037124103,124103,2022,1811,877,4842.6284,29,160.13252,70,386.52679,390,2153.5063
1400000U,06037124104,124104,2022,2764,913,3303.1838,33,119.39219,70,253.25615,387,1400.1448
1400000U,06037124105,124105,2022,2250,1026,4560,119,528.88892,72,320,438,1946.6666
1400000U,06037124201,124201,2022,3837,1519,3958.822,224,583.78943,77,200.67761,716,1866.0411
1400000U,06037124203,124203,2022,2003,933,4658.0132,7,34.947578,79,394.40839,525,2621.0684
1400000U,06037124204,124204,2022,2302,753,3271.0686,39,169.41789,48,208.51433,430,1867.9409
1400000U,06037124300,124300,2022,2964,2149,7250.3374,111,374.49393,282,951.41699,1060,3576.2483
1400000U,06037124400,124400,2022,4582,1303,2843.7363,19,41.46661,62,135.31209,889,1940.2008
1400000U,06037124500,124500,2022,2695,733,2719.8516,5,18.552876,25,92.764381,507,1881.2616
